Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
97.29.3,TRUE,TRUE,11797,American Decorative Arts,Painting,The American School,American,,,,,Artist,,Matthew Pratt,1734–1805,,"Pratt, Matthew",American,1734,1805,1765,1765,1765,Oil on canvas,36 x 50 1/4 in. (91.4 x 127.6 cm),"Gift of Samuel P. Avery, 1897",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/11797,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
7.79,TRUE,TRUE,11865,American Decorative Arts,Sculpture,The Mountain Man,American,,,,,Artist,,Frederic Remington,"American, Canton, New York 1861–1909 Ridgefield, Connecticut",,"Remington, Frederic",American,1861,1909,"1903, cast by March 1907",1903,1907,Bronze,27 3/4 x 12 x 10 in. (70.5 x 30.5 x 25.4 cm),"Rogers Fund, 1907",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/11865,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
80.1.2,TRUE,TRUE,11900,American Decorative Arts,Watercolor,"Moonlight on Mount Lafayette, New Hampshire",American,,,,,Artist,,William Trost Richards,"American, Philadelphia, Pennsylvania 1833–1905 Newport, Rhode Island",,"Richards, William Trost",American,1833,1905,1873,1873,1873,"Watercolor, gouache, and graphite on gray-green wove paper",8 1/2 x 14 3/16 in. (21.6 x 36 cm),"Gift of The Reverend E. L. Magoon, D.D., 1880",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/11900,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1985.353,TRUE,TRUE,11999,American Decorative Arts,Sculpture,Diana,American,,,,,Artist,,Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire",,"Saint-Gaudens, Augustus",American,1848,1907,"1893–94, cast 1894 or after",1893,1894,Bronze,28 1/4 x 16 1/4 x 14 in. (71.8 x 41.3 x 35.6 cm),"Gift of Lincoln Kirstein, 1985",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/11999,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
2001.641,TRUE,TRUE,12004,American Decorative Arts,Sculpture,Hiawatha,American,,,,,Artist,,Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire",,"Saint-Gaudens, Augustus",American,1848,1907,"1871–72, carved 1874",1871,1874,Marble,"Figure: 60 x 34 1/2 x 37 1/4 in. (152.4 x 87.6 x 94.6 cm)
Base (Granite base): 23 in.
Other (Plinth with inscription): 5 3/4 in. (14.6 cm)","Gift of Diane, Daniel, and Mathew Wolf, in memory of Catherine Hoover Voorsanger, 2001",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/12004,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
17.104,TRUE,TRUE,12012,American Decorative Arts,Sculpture,Mrs. Schuyler Van Rensselaer (Mariana Griswold),American,,,,,Artist,,Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire",,"Saint-Gaudens, Augustus",American,1848,1907,"1888, cast 1890",1888,1890,Bronze,20 3/8 x 7 3/4 in. (51.8 x 19.7 cm),"Gift of Mrs. Schuyler Van Rensselaer, 1917",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/12012,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
39.65.53,TRUE,TRUE,12015,American Decorative Arts,Sculpture,The Puritan,American,,,,,Artist,,Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire",,"Saint-Gaudens, Augustus",American,1848,1907,"1883–86, cast 1899 or after",1883,1899,Bronze,30 1/2 x 18 1/2 x 13 in. (77.5 x 47 x 33 cm),"Bequest of Jacob Ruppert, 1939",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/12015,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
17.90.1,TRUE,TRUE,12019,American Decorative Arts,Sculpture,Victory,American,,,,,Artist,,Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire",,"Saint-Gaudens, Augustus",American,1848,1907,"1892–1903; this cast, 1914 or after (by 1916)",1892,1903,"Bronze, gilt","38 x 9 1/2 x 18 1/2 in., (96.5 x 24.1 x 47 cm)","Rogers Fund, 1917",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/12019,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
16.53,TRUE,TRUE,12127,American Decorative Arts,Painting,Madame X (Madame Pierre Gautreau),American,,,,,Artist,,John Singer Sargent,"American, Florence 1856–1925 London",,"Sargent, John Singer",American,1856,1925,1883–84,1883,1884,Oil on canvas,"82 1/8 x 43 1/4in. (208.6 x 109.9cm)
Framed: 95 3/4 x 56 5/8 x 5 in. (243.2 x 143.8 x 12.7 cm)","Arthur Hoppock Hearn Fund, 1916",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12127,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
15.142.2,TRUE,TRUE,12138,American Decorative Arts,Watercolor,Mountain Stream,American,,,,,Artist,,John Singer Sargent,"American, Florence 1856–1925 London",,"Sargent, John Singer",American,1856,1925,ca. 1912–14,1912,1914,Watercolor and graphite on off-white wove paper,"13 11/16 x 21 in. (34.8 x 53.3 cm)
Mat: 22 × 28 in. (55.9 × 71.1 cm)
Framed (standard exhibition frame): 24 1/2 × 30 1/2 × 1 1/8 in. (62.2 × 77.5 × 2.9 cm)","Purchase, Joseph Pulitzer Bequest, 1915",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/12138,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1995.378,TRUE,TRUE,12388,American Decorative Arts,Watercolor,A Basket of Clams,American,,,,,Artist,,Winslow Homer,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine",,"Homer, Winslow",American,1836,1910,1873,1873,1873,Watercolor on wove paper,11 1/2 x 9 3/4 in. (29.2 x 24.8 cm),"Gift of Arthur G. Altschul, 1995",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/12388,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
62.79.1,TRUE,TRUE,12600,American Decorative Arts,Painting,Francis Brinley,American,,,,,Artist,,John Smibert,"American, Edinburgh, Scotland 1688–1751 Boston, Massachusetts",,"Smibert, John","American, Scottish",1688,1751,1729,1729,1729,Oil on canvas,50 x 39 1/4 in. (127 x 99.7 cm),"Rogers Fund, 1962",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12600,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
62.79.2,TRUE,TRUE,12602,American Decorative Arts,Painting,Mrs. Francis Brinley and Her Son Francis,American,,,,,Artist,,John Smibert,"American, Edinburgh, Scotland 1688–1751 Boston, Massachusetts",,"Smibert, John","American, Scottish",1688,1751,1729,1729,1729,Oil on canvas,50 x 39 1/4 in. (127 x 99.7 cm),"Rogers Fund, 1962",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12602,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
46.192.4,TRUE,TRUE,12613,American Decorative Arts,Watercolor,Allan Melville,American,,,,,Artist,,John Rubens Smith,"American, London 1775–1849 New York",,"Smith, John Rubens",American,1775,1849,1810,1810,1810,"Watercolor, gouache, and graphite on smooth surfaced off-white wove paper",8 7/8 x 6 3/4 in. (22.5 x 17.1 cm),"Bequest of Charlotte E. Hoadley, 1946",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/12613,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
88.5a–d,TRUE,TRUE,12649,American Decorative Arts,Sculpture,Cleopatra,American,,,,,Artist,,William Wetmore Story,"American, Boston, Massachusetts 1819–1895 Vallombrosa",,"Story, William Wetmore",American,1819,1895,"1858, carved 1869",1858,1869,Marble,55 1/2 x 33 1/4 x 51 1/2 in. (141 x 84.5 x 130.8 cm),"Gift of John Taylor Johnston, 1888",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/12649,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1977.243,TRUE,TRUE,12667,American Decorative Arts,Painting,Horatio Gates,American,,,,,Artist,,Gilbert Stuart,"American, North Kingston, Rhode Island 1755–1828 Boston, Massachusetts",,"Stuart, Gilbert",American,1755,1828,ca. 1793–94,1790,1794,Oil on canvas,44 1/4 x 35 7/8 in. (112.4 x 91.1 cm),"Gift of Lucille S. Pfeffer, 1977",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12667,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
14.126.1,TRUE,TRUE,12702,American Decorative Arts,Painting,Queen Victoria,American,,,,,Artist,,Thomas Sully,"American, Horncastle, Lincolnshire 1783–1872 Philadelphia, Pennsylvania",,"Sully, Thomas",American,1783,1872,1838,1838,1838,Oil on canvas,36 x 28 3/8 in. (91.4 x 71.5 cm),"Bequest of Francis T. Sully Darley, 1914",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12702,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1976.332,TRUE,TRUE,12828,American Decorative Arts,Painting,The Sortie Made by the Garrison of Gibraltar,American,,,,,Artist,,John Trumbull,"American, Lebanon, Connecticut 1756–1843 New York",,"Trumbull, John",American,1756,1843,1789,1789,1789,Oil on canvas,71 x 107 in. (180.3 x 271.8 cm),"Purchase, Pauline V. Fullerton Bequest; Mr. and Mrs. James Walter Carter and Mr. and Mrs. Raymond J. Horowitz Gifts; Erving Wolf Foundation and Vain and Harry Fish Foundation Inc. Gifts; Gift of Hanson K. Corning, by exchange; and Maria DeWitt Jesup and Morris K. Jesup Funds, 1976",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12828,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
52.184,TRUE,TRUE,13052,American Decorative Arts,Painting,Panoramic View of the Palace and Gardens of Versailles,American,,,,,Artist,,John Vanderlyn,"American, Kingston, New York 1775–1852 Kingston, New York",,"Vanderlyn, John",American,1775,1852,1818–19,1818,1819,Oil on canvas,12 x 165 ft. (3.6 x 49.5 m),"Gift of the Senate House Association, Kingston, N.Y., 1952",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/13052,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1979.394,TRUE,TRUE,13134,American Decorative Arts,Sculpture,The Freedman,American,,,,,Artist,,John Quincy Adams Ward,"American, Urbana, Ohio 1830–1910 New York",,"Ward, John Quincy Adams",American ,1830,1910,"1863, cast 1891",1863,1891,Bronze,19 1/2 x 14 3/4 x 9 3/4 in. (49.5 x 37.5 x 24.8 cm),"Gift of Charles Anthony Lamb and Barea Lamb Seeley, in memory of their grandfather, Charles Rollinson Lamb, 1979",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/13134,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1973.257,TRUE,TRUE,13137,American Decorative Arts,Sculpture,The Indian Hunter,American,,,,,Artist,,John Quincy Adams Ward,"American, Urbana, Ohio 1830–1910 New York",,"Ward, John Quincy Adams",American ,1830,1910,"1860, cast before 1910",1860,1909,Bronze,16 1/8 x 10 1/2 x 15 1/4 in. (41 x 26.7 x 38.7 cm),"Morris K. Jesup Fund, 1973",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/13137,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
13.2,TRUE,TRUE,13211,American Decorative Arts,Painting,Arrangement in Flesh Colour and Black: Portrait of Theodore Duret,American,,,,,Artist,,James McNeill Whistler,"American, Lowell, Massachusetts 1834–1903 London",,"Whistler, James McNeill",American,1834,1903,1883,1883,1883,Oil on canvas,76 1/8 x 35 3/4 in. (193.4 x 90.8 cm),"Catharine Lorillard Wolfe Collection, Wolfe Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/13211,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
17.97.5,TRUE,TRUE,13215,American Decorative Arts,Drawing,Note in Pink and Brown,American,,,,,Artist,,James McNeill Whistler,"American, Lowell, Massachusetts 1834–1903 London",,"Whistler, James McNeill",American,1834,1903,ca. 1880,1880,1880,Charcoal and pastel on dark brown wove paper,11 3/4 x 7 1/4 in. (29.8 x 18.4 cm),"Harris Brisbane Dick Fund, 1917",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/13215,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
21.115.4,TRUE,TRUE,13315,American Decorative Arts,Painting,The Trout Pool,American,,,,,Artist,,Worthington Whittredge,1820–1910,,"Whittredge, Worthington",,1820,1910,1870,1870,1870,Oil on canvas,36 x 27 1/8 in. (91.4 x 68.9 cm),"Gift of Colonel Charles A. Fowler, 1921",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/13315,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1993.75,TRUE,TRUE,13471,American Decorative Arts,Armchair,Armchair,American,,,,,Manufacturer|Designer,Manufactured by|Designed by,A. H. Davenport|Francis H. Bacon,1800–1908|1856–1940,,"Davenport, A. H.|Bacon, Francis H.",,1800      |1856      ,1908      |1940      ,1886–88,1886,1888,"Mahogany, tooled and painted leather",46 1/4 x 23 1/8 x 23 1/2 in. (117.5 x 58.7 x 59.7 cm),"Purchase, Friends of the American Wing Fund and Geoffrey N. Bradfield Gift, 1993",Made in,Boston,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/13471,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
38.59,TRUE,TRUE,13606,American Decorative Arts,Coverlet,Phebe Warner Coverlet,American,,,,,Maker,Probably,Sarah Furman Warner Williams,born 1764,,"Furman, Warner Williams Sarah",American,1764,1864,ca. 1803,1800,1806,Linen and cotton,103 1/4 x 90 1/2 in. (262.3 x 229.9 cm),"Gift of Catharine E. Cotheal, 1938",Made in,New York,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/13606,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1989.66,TRUE,TRUE,13647,American Decorative Arts,Quilt,"Quilt Top, Crazy pattern",American,,,,,,,,,,,,,,ca. 1885,1882,1888,"Silk, satin, velvet, and cotton",60 3/4 x 52 in. (154.3 x 132.1 cm),"Gift of Tracey Blumenreich Zabar, 1989",Made in,,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/13647,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
48.81,TRUE,TRUE,13763,American Decorative Arts,Memorial painting,Memorial painting,American,,,,,Maker,,Sally Miller,,,"Miller, Sally",,,9999,1811,1811,1811,Watercolor and ink on silk,28 x 32 3/8 in. (71.1 x 82.2 cm),"Rogers Fund, 1948",Made in,Litchfield,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/13763,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
14.26,TRUE,TRUE,14049,American Decorative Arts,Sampler,Embroidered Sampler,American,,,,,Maker,,Patty Coggeshall,1780–1797,,"Coggeshall, Patty",American,1780,1797,ca. 1792,1789,1792,"Silk on linen, embroidered",19 1/2 x 16 5/8 in. (49.5 x 42.2 cm),"Rogers Fund, 1914",Made in,Bristol,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14049,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1984.331.13,TRUE,TRUE,14092,American Decorative Arts,Sampler,Embroidered sampler,American,,,,,Maker,,Rebekah S. Munro,1780–1803,,"Munro, Rebekah S.",,1780,1803,ca. 1791,1788,1791,Embroidered silk on linen,15 3/4 x 11 3/4 in. (40 x 29.8 cm),"Gift of Barbara Schiff Sinauer, 1984",Made in,Providence,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14092,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1991.145,TRUE,TRUE,14282,American Decorative Arts,Library table,Library Table,American,,,,,Maker|Maker,,William Lightfoot Price|Rose Valley,1861–1916,,"Price, William Lightfoot|Rose Valley",,1861,1916,1904,1904,1904,"White oak, stained",29 1/2 x 66 x 39 1/2 in. (74.9 x 167.6 x 100.3 cm),"Sansbury-Mills Fund, 1991",Made in,Rose Valley,Delaware,Delaware,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/14282,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1991.311.1,TRUE,TRUE,14336,American Decorative Arts,Linen press,Linen Press,American,,,,,Maker,,Byrdcliffe Arts and Crafts Colony,"American, 1902–1915",,Byrdcliffe Arts and Crafts Colony,American,1902,1915,ca. 1904,1901,1904,"Oak, tulip poplar, brass",55 x 41 x 18 3/4 in. (139.7 x 104.1 x 47.6 cm),"Purchase, Friends of the American Wing Fund and Mr. and Mrs. Mark Willcox Jr. Gift, 1991",Made in,Woodstock,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/14336,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1992.43,TRUE,TRUE,14380,American Decorative Arts,Screen,Screen,American,,,,,Designer,Designed by,Lockwood de Forest,"American, New York 1850–1932 Santa Barbara, California",,"de Forest, Lockwood",American,1850,1932,ca. 1881–90,1881,1890,"Teak, plaited matting, mixed metals",65 x 69 3/4 x 1 3/4 in. (165.1 x 177.2 x 4.4 cm),"Gift of Priscilla de Forest Williams, 1992",Possibly made in|Possibly made in,New York|Ahmedabad,,,United States|India,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/14380,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1992.8,TRUE,TRUE,14430,American Decorative Arts,Chair,Chair,American,,,,,Maker,,Herter Brothers,"German, active New York, 1864–1906",,Herter Brothers,,1864,1906,1877–79,1877,1879,"Ebonized cherry, marquetry of lighter woods, gilding",37 5/16 x 17 1/16 x 18 1/8 in. (94.8 x 43.3 x 46 cm),"Purchase, Barrie A. and Deedee Wigmore Foundation Gift, 1992",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/14430,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1992.128,TRUE,TRUE,14472,American Decorative Arts,Painting,The Contest for the Bouquet: The Family of Robert Gordon in Their New York Dining-Room,American,,,,,Artist,,Seymour Joseph Guy,1824–1910,,"Guy, Seymour Joseph",,1824,1910,1866,1866,1866,Oil on canvas,24 5/8 x 29 1/2 in. (62.5 x 74.9 cm),"Purchase, Gift of William E. Dodge, by exchange, and Lila Acheson  Wallace Gift, 1992",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/14472,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1992.269,TRUE,TRUE,14488,American Decorative Arts,Settee,Settee,American,,,,,Maker,,George Jakob Hunzinger,1835–1898,,"Hunzinger, George Jakob",,1835,1898,ca. 1876–85,1873,1885,"Ebonized cherry, fabric-covered steel mesh",39 5/8 x 67 3/8 x 22 5/8 in. (100.6 x 171.1 x 57.5 cm),"Friends of the American Wing Fund, 1992",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/14488,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1992.23,TRUE,TRUE,14494,American Decorative Arts,Pitcher,Pitcher,American,,,,,Manufacturer,,American Pottery Manufacturing Company,1833–ca. 1854,,American Pottery Manufacturing Company ,,1833,1833,1833–50,1833,1833,Earthenware,9 5/8 x 9 1/8 x 7 in. (24.4 x 23.2 x 17.8 cm),"Gift of Maude B. Feld and Samuel B. Feld, 1992",Made in,Jersey City,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/14494,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1994.567,TRUE,TRUE,14930,American Decorative Arts,Painting,"Celia Thaxter's Garden, Isles of Shoals, Maine",American,,,,,Artist,,Childe Hassam,"American, Dorchester, Massachusetts 1859–1935 East Hampton, New York",,"Hassam, Childe",American,1859,1935,1890,1890,1890,Oil on canvas,17 3/4 x 21 1/2 in. (45.1 x 54.6 cm),"Anonymous Gift, 1994",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/14930,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1993.324,TRUE,TRUE,14931,American Decorative Arts,Painting,A Rose,American,,,,,Artist,,Thomas Anshutz,"American, Newport, Kentucky 1851–1912 Fort Washington, Pennsylvania",,"Anshutz, Thomas",American,1851,1912,1907,1907,1907,Oil on canvas,58 x 43 7/8 in. (147.3 x 111.4 cm),"Marguerite and Frank A. Cosgrove Jr. Fund, 1993",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/14931,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1995.13,TRUE,TRUE,14972,American Decorative Arts,Decanter,Decanter,American,,,,,Maker,,"Bakewell, Page & Bakewell",1808–1882,,"Bakewell, Page & Bakewell",,1808,1882,ca. 1826–35,1826,1835,Blown and cut glass; clay cameo,H. 7 3/8 in. (18.7 cm),"Purchase, The Overbrook Foundation Gift, 1995",Made in,Pittsburgh,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/14972,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1995.377.1,TRUE,TRUE,15387,American Decorative Arts,Card table,Card table,American,,,,,Maker,,Charles-Honoré Lannuier,France 1779–1819 New York,,"Lannuier, Charles-Honoré",,1779,1819,1817,1817,1817,"Mahogany veneer, white pine, yellow poplar, gilded gesso, vert antique, and gilded brass",31 1/8 x 36 x 17 3/4 in. (79.1 x 91.4 x 45.1 cm),"Gift of Justine VR. Milliken, 1995",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/15387,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1996.279,TRUE,TRUE,15541,American Decorative Arts,Drawing,Hugh Hall,American,,,,,Artist,,John Singleton Copley,"American, Boston, Massachusetts 1738–1815 London",,"Copley, John Singleton",American,1738,1815,1758,1758,1758,"Pastel on off-white laid paper, mounted on canvas",15 15/16 x 13 3/16 in. (40.5 x 33.5 cm),"Purchase, Estate of George Strichman and Sandra Strichman Gifts; Bequest of Vera Ruth Miller, in memory of her father, Henry Miller, Bequest of Josephine N. Hopper, John Stewart Kennedy Fund, and Gifts of Yvonne Moën Cumerford, Berry B. Tracy, and Mr. and Mrs. Jeremiah Milbank, by exchange; Mr. and Mrs. Leonard L. Milberg Gift, and funds from various donors, 1996",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/15541,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1996.382,TRUE,TRUE,15583,American Decorative Arts,Painting,"Surf, Isles of Shoals",American,,,,,Artist,,Childe Hassam,"American, Dorchester, Massachusetts 1859–1935 East Hampton, New York",,"Hassam, Childe",American,1859,1935,1913,1913,1913,Oil on canvas,28 1/4 x 35 1/4 in. (89.5 x 71.8 cm),"Gift of Dr. and Mrs. Sheldon C. Sommers, 1996",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/15583,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1996.563,TRUE,TRUE,15588,American Decorative Arts,"Painting, miniature",Portrait of a Gentleman,American,,,,,Artist,,Henry Benbridge,"American, Philadelphia 1743–1812 Philadelphia",,"Benbridge, Henry",American,1743,1812,ca. 1770,1767,1770,Watercolor on ivory,1 1/4 x 1 7/8 in. (3.2 x 4.8 cm),"Dale T. Johnson Fund, 1996",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/15588,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1998.365,TRUE,TRUE,16255,American Decorative Arts,Painting,Mrs. Hugh Hammersley,American,,,,,Artist,,John Singer Sargent,"American, Florence 1856–1925 London",,"Sargent, John Singer",American,1856,1925,1892,1892,1892,Oil on canvas,"81 x 45 1/2in. (205.7 x 115.6cm)
Framed: 91 1/2 x 52 5/8 x 4 3/4 in. (232.4 x 133.7 x 12.1 cm)","Gift of Mr. and Mrs. Douglass Campbell, in memory of Mrs. Richard E. Danielson, 1998",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/16255,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1999.176,TRUE,TRUE,16571,American Decorative Arts,Drawing,Woman in a Blue Dress,American,,,,,Artist,,Thomas Wilmer Dewing,1851–1938,,"Dewing, Thomas Wilmer",American,1851,1938,ca. 1890–1909,1890,1909,"Pastel on brown wove paper, mounted on wood board",10 5/8 x 7 1/2 in. (27 x 19.1 cm),"Bequest of Robert Louis Isaacson, in memory of Mr. and Mrs. R. Kirk Askew, 1998",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/16571,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1999.19,TRUE,TRUE,16577,American Decorative Arts,Watercolor,Winter Scene in Moonlight,American,,,,,Artist,,Henry Farrer,"American, London 1844–1903 New York",,"Farrer, Henry",American,1844,1903,1869,1869,1869,Watercolor and gouache on white wove paper,11 7/8 x 15 3/16 in. (30.2 x 38.6 cm),"Purchase, Morris K. Jesup Fund, Martha and Barbara Fleischman, and Katherine and Frank Martucci Gifts, 1999",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/16577,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1999.18,TRUE,TRUE,16578,American Decorative Arts,Bust,Venezia,American,,,,,Artist,,Larkin Goldsmith Mead,1835–1910,,"Mead, Larkin Goldsmith",American,1835,1910,ca. 1865–66,1865,1866,Marble,27 x 15 1/4 x 11 1/8 in. (68.6 x 38.7 x 28.3 cm),"Purchase, Gift of William Nelson and Gift of Misses Alice and Evelyn Blight and Mrs. William Payne Thompson, by exchange, 1999",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/16578,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
7.16,TRUE,TRUE,16584,American Decorative Arts,Painting,George Washington,American,,,,,Artist,,Gilbert Stuart,"American, North Kingston, Rhode Island 1755–1828 Boston, Massachusetts",,"Stuart, Gilbert",American,1755,1828,begun 1795,1795,1795,Oil on canvas,30 1/4 x 25 1/4 in. (76.8 x 64.1 cm),"Rogers Fund, 1907",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/16584,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
2000.151,TRUE,TRUE,16687,American Decorative Arts,Painting,Michael Angelo and Emma Clara Peale,American,,,,,Artist,,Rembrandt Peale,"American, Bucks County, Pennsylvania 1778–1860 Philadelphia, Pennsylvania",,"Peale, Rembrandt",American,1778,1860,ca. 1826,1826,1826,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),"Purchase, Dodge Fund, Dale T. Johnson Fund, and The Douglass Foundation, The Overbrook Foundation, Mr. and Mrs. Max N. Berry, Barbara G. Fleischman, Mrs. Daniel Fraad, Mr. and Mrs. Peter Lunder, Mr. and Mrs. Frank Martucci, and Erving and Joyce Wolf Gifts, 2000",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/16687,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
