,Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.),brightness_avg_perceived
115,"Gymnasium-Bridge Project, New York, New York, Perspective",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),1977,Ink and graphite on paper,"13 1/2 x 22"" (34.3 x 55.9 cm)",Roblee McCarthy Fund,84.1989,Architecture,Architecture & Design,1989-05-16,Y,164,http://www.moma.org/collection/works/164,http://www.moma.org/media/W1siZiIsIjE1ODMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=bc7fe358e7381950,,,,34.3,,,55.9,,,92.78924096270293
116,"Library and Office Building of Salman Schocken, Jerusalem, Israel, Interior perspectives",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),1935,Graphite and color pencil on tracing paper,"14 x 11 1/2"" (35.6 x 29.2 cm)",Gift of Milton Sheingarten,85.2000,Architecture,Architecture & Design,2000-01-19,Y,165,http://www.moma.org/collection/works/165,http://www.moma.org/media/W1siZiIsIjYwMTI3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1a4b5e2954ffd224,,,,35.6,,,29.2,,,201.70381766493543
117,"Gymnasium Bridge, project, New York City, New York, Plan, site plan, and exterior perspective",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),1977,Graphite on paper,"22 x 29 3/4"" (55.9 x 75.6 cm)",Roblee McCarthy Fund,85.1989,Architecture,Architecture & Design,1989-05-16,Y,166,http://www.moma.org/collection/works/166,http://www.moma.org/media/W1siZiIsIjE1OTQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=0e698caad68fd85e,,,,55.9,,,75.6,,,196.57022457866097
118,"Library and Office Building of Salman Schocken, Jerusalem, Israel, Perspective and plan",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),Unknown,Graphite and color pencil on tracing paper,"8 1/2 x 14 1/8"" (21.6 x 35.9 cm)",Gift of Milton Sheingarten,86.2000,Architecture,Architecture & Design,2000-01-19,Y,167,http://www.moma.org/collection/works/167,http://www.moma.org/media/W1siZiIsIjYwMTE4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1e061f2432a27504,,,,21.6,,,35.9,,,209.1936334921666
119,Helium Bridge Project,Paolo Soleri,8101,"(American, born Italy. 1919–2013)",(American),(1919),(2013),(Male),1958,Silkscreen,"21 3/4 x 59 1/8"" (55.2 x 150.2 cm)",Gift of the architect,114.2013,Architecture,Architecture & Design,1966-01-01,Y,168,http://www.moma.org/collection/works/168,http://www.moma.org/media/W1siZiIsIjE2MDciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=3450085f72bb8878,,,,55.2,,,150.2,,,166.72087681947477
120,"Autonomous Artisans' House, project, Staten Island, New York, Perspective",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),1980,Graphite and watercolor on paper,"3 1/4 x 13"" (8.3 x 33 cm)",Edward Larrabee Barnes Purchase Fund,86.1989,Architecture,Architecture & Design,1989-05-16,Y,169,http://www.moma.org/collection/works/169,http://www.moma.org/media/W1siZiIsIjE2MTIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=4836ecc514f88492,,,,8.3,,,33.0,,,169.690629199102
121,"Library and Office Building of Salman Schocken, Jerusalem, Israel, Elevations",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),Unknown,Graphite and color pencil on tracing paper,"8 x 14 1/8"" (20.3 x 35.9 cm)",Gift of Milton Sheingarten,87.2000,Architecture,Architecture & Design,2000-01-19,Y,170,http://www.moma.org/collection/works/170,http://www.moma.org/media/W1siZiIsIjYwMTE5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=0b7665daf6a8b55f,,,,20.3,,,35.9,,,204.9317166554682
122,"Autonomous Artisans' House, project, New York (Staten Island), New York, Perspective",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),1984,Graphite on vellum,"20 1/2 x 40 3/4"" (52.1 x 103.5 cm)",Edward Larrabee Barnes Purchase Fund,87.1989,Architecture,Architecture & Design,1989-05-16,Y,171,http://www.moma.org/collection/works/171,http://www.moma.org/media/W1siZiIsIjE2MjgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=8a774dd165e11b83,,,,52.1,,,103.5,,,196.03507534270815
123,"Library and Office Building of Salman Schocken, Jerusalem, Israel, Perspectives and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),Unknown,Graphite on tracing paper,"13 3/4 x 7"" (34.9 x 17.8 cm)",Gift of Milton Sheingarten,88.2000,Architecture,Architecture & Design,2000-01-19,Y,172,http://www.moma.org/collection/works/172,http://www.moma.org/media/W1siZiIsIjYwMTIwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=6aafb56661393e3a,,,,34.9,,,17.8,,,208.70700720498164
124,"Berkowitz House, Martha's Vineyard, Massachusetts, Exterior perspective",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),1985,Graphite and watercolor on paper,"20 1/2 x 42 1/2"" (52.1 x 108 cm)",Kenneth Walker Fund,88.1989,Architecture,Architecture & Design,1989-05-16,Y,173,http://www.moma.org/collection/works/173,http://www.moma.org/media/W1siZiIsIjE2MzkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=3adaf48dfc990453,,,,52.0701,,,107.9502,,,200.46727580998805
125,"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspectives",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),1936,Graphite on copy paper,"Each: 8 1/2 x 5 3/8"" (21.6 x 13.7 cm)
",Gift of Milton Scheingarten,89.2000.a-b,Architecture,Architecture & Design,2000-01-19,Y,174,http://www.moma.org/collection/works/174,http://www.moma.org/media/W1siZiIsIjIxMDIyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=957f2a1ca3763a44,,,,21.59,,,13.6525,,,199.66216574210713
127,"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspective",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),1936,Colored pencil on tracing paper,"10 3/4 x 14 1/8"" (27.3 x 35.9 cm)",Gift of Milton Scheingarten,90.2000,Architecture,Architecture & Design,2000-01-19,Y,176,http://www.moma.org/collection/works/176,http://www.moma.org/media/W1siZiIsIjE2NjIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=769b57518e00daad,,,,27.3051,,,35.8776,,,200.83061791313153
128,"Porta Vittoria, project, Milan, Italy, Garden of Sounds, perspective and plan",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),1986,"Graphite, ink and ink wash on paper","29 3/4 x 22 3/8"" (75.6 x 56.8 cm)",Pritzker Foundation Fund and Architecture & Design Purchase Fund,90.1989,Architecture,Architecture & Design,1989-05-16,Y,177,http://www.moma.org/collection/works/177,http://www.moma.org/media/W1siZiIsIjE2NzYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=4d5803692b265001,,,,75.6,,,56.8,,,220.21215079467882
129,"Hadassah University Medical Center, Mount Scopus, Jerusalem, Interior perspective and details of furniture",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),1936,Graphite and color pencil on tracing paper,"14 1/4 x 11 1/2"" (36.2 x 29.2 cm)",Gift of Milton Scheingarten,91.2000,Architecture,Architecture & Design,2000-01-19,Y,178,http://www.moma.org/collection/works/178,http://www.moma.org/media/W1siZiIsIjE2ODIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=df7eba231371e0b9,,,,36.2,,,29.2,,,198.35508071011728
130,"Porta Vittoria, project, Milan, Italy, New subway station opening onto elongated gap, perspective and plan",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),1986,"Graphite, ink and ink wash on paper","29 3/4 x 22 1/4"" (75.6 x 56.5 cm)",Pritzker Foundation Fund and Architecture & Design Purchase Fund,91.1989,Architecture,Architecture & Design,1989-05-16,Y,179,http://www.moma.org/collection/works/179,http://www.moma.org/media/W1siZiIsIjE2OTciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ede44610eefaef60,,,,75.6,,,56.5,,,221.11717211323995
131,"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspectives of the medical school and auditorium",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),1936,Graphite on tracing paper,"14 1/2 x 11 1/2"" (36.8 x 29.2 cm)",Gift of Milton Scheingarten,92.2000,Architecture,Architecture & Design,2000-01-19,Y,180,http://www.moma.org/collection/works/180,http://www.moma.org/media/W1siZiIsIjE3MDIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=01117971a535bbea,,,,36.8301,,,29.2101,,,206.77352242054286
132,"Porta Vittoria, project, Milan, Italy, View at elliptical passage, perspective and plan",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),1986,"Graphite, ink and ink wash on paper","30 x 22 1/4"" (76.2 x 56.5 cm)",Pritzker Foundation Fund and Architecture & Design Purchase Fund,92.1989,Architecture,Architecture & Design,1989-05-16,Y,181,http://www.moma.org/collection/works/181,http://www.moma.org/media/W1siZiIsIjE3MTMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=381ee89710ba5a22,,,,76.2,,,56.5,,,215.45462286243392
133,"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspective",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),1936,Colored pencil on tracing paper,"8 5/8 x 16"" (21.9 x 40.6 cm)",Gift of Milton Scheingarten,93.2000,Architecture,Architecture & Design,2000-01-19,Y,182,http://www.moma.org/collection/works/182,http://www.moma.org/media/W1siZiIsIjE3MTYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=7b1973a0864af288,,,,21.9075,,,40.6401,,,197.21885965073875
134,"Porta Vittoria, project, Milan, Italy, Subway station and shops, ticket-taker tower, perspective and plan",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),1986,"Graphite, ink and ink wash on paper","29 3/4 x 22 1/4"" (75.6 x 56.5 cm)",Pritzker Foundation Fund and Architecture & Design Purchase Fund,93.1989,Architecture,Architecture & Design,1989-05-16,Y,183,http://www.moma.org/collection/works/183,http://www.moma.org/media/W1siZiIsIjE3MzAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=64246da126398898,,,,75.6,,,56.5,,,208.7190816185553
135,"Residence of Salman Schocken, Jerusalem, Israel, Perspective and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),Unknown,Graphite and color pencil on tracing paper,"13 1/2 x 11 5/16"" (34.3 x 28.7 cm)",Gift of Milton Scheingarten,94.2000,Architecture,Architecture & Design,2000-01-19,Y,184,http://www.moma.org/collection/works/184,http://www.moma.org/media/W1siZiIsIjIxMDI0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c22128ffafdd2081,,,,34.2901,,,28.7338,,,199.05100028222688
136,"Porta Vittoria, project, Milan, Italy, Water basin, amphitheater, and jack-up rig, perspective and plan",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),1986,"Graphite, ink and ink wash on paper","29 3/4 x 22 1/4"" (75.6 x 56.5 cm)",Pritzker Foundation Fund and Architecture & Design Purchase Fund,94.1989,Architecture,Architecture & Design,1989-05-16,Y,185,http://www.moma.org/collection/works/185,http://www.moma.org/media/W1siZiIsIjE3NDEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=38a1bba986e72a56,,,,75.6,,,56.5,,,221.31504491572892
137,"Hadassah University Medical Center, Mount Scopus, Jerusalem, Israel, Perspectives and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),1936,Graphite and color pencil on tracing paper,"13 7/8 x 9 1/2"" (35.2 x 24.1 cm)",Gift of Milton Scheingarten,95.2000,Architecture,Architecture & Design,2000-01-19,Y,186,http://www.moma.org/collection/works/186,http://www.moma.org/media/W1siZiIsIjIyMTcxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=da26b77fd3bdcc9b,,,,35.2,,,24.1,,,204.29400363286692
138,"Porta Vittoria, project, Milan, Italy, Passage below water basin, perspective and plan",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),1986,"Graphite, ink and ink wash on paper","29 3/4 x 22 1/4"" (75.6 x 56.5 cm)",Pritzker Foundation Fund and Architecture & Design Purchase Fund,95.1989,Architecture,Architecture & Design,1989-05-16,Y,187,http://www.moma.org/collection/works/187,http://www.moma.org/media/W1siZiIsIjE3NTUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=c63750e7cee52e42,,,,75.6,,,56.5,,,218.04642312482432
139,"Library and Office Building of Salman Schocken, Jerusalem, Israel, Perspectives and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),Unknown,Graphite on tracing paper,"11 7/8 x 14 1/2"" (30.2 x 36.8 cm)",Gift of Milton Scheingarten,96.2000,Architecture,Architecture & Design,2000-01-19,Y,188,http://www.moma.org/collection/works/188,http://www.moma.org/media/W1siZiIsIjYwMTIzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=8c5990d4805b477c,,,,30.2,,,36.8,,,197.64371175090324
140,"Residence for Herbert Green, Studies for an Unfolded Modular House, Cherry Hill, Pennsylvania, Perspective",Paul Rudolph,5076,"(American, 1918–1997)",(American),(1918),(1997),(Male),1989,Ink on tracing paper,"14 5/8 x 64 3/4"" (37.1 x 164.5 cm)",Gift of the architect,96.1989,Architecture,Architecture & Design,1989-05-16,Y,189,http://www.moma.org/collection/works/189,http://www.moma.org/media/W1siZiIsIjE3NzMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=a3b883ca39d99b1e,,,,37.1,,,164.5,,,221.1009714068135
141,"Gated Wall, Perspective and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),Unknown,Graphite on tracing paper,"11 3/4 x 14 3/4"" (29.8 x 37.5 cm)",Gift of Milton Scheingarten,97.2000,Architecture,Architecture & Design,2000-01-19,Y,190,http://www.moma.org/collection/works/190,http://www.moma.org/media/W1siZiIsIjYwMTI0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=7e27882e1418ef6a,,,,29.8,,,37.5,,,201.0132760384613
142,"Finney Guest House Project, Siesta Key, Florida, Aerial perspective",Paul Rudolph,5076,"(American, 1918–1997)",(American),(1918),(1997),(Male),1949,Ink and printed polymer sheet on paper,"25 1/2 x 18 7/8"" (64.8 x 47.9 cm)",Gift of the architect,97.1989,Architecture,Architecture & Design,1989-05-16,Y,191,http://www.moma.org/collection/works/191,http://www.moma.org/media/W1siZiIsIjE3ODUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=52a7504dbee828dd,,,,64.8,,,47.9,,,177.95050897855825
143,"Gated Wall, Perspective and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),Unknown,Graphite on tracing paper,"16 1/2 x 11 1/2"" (41.9 x 29.2 cm)",Gift of Milton Scheingarten,98.2000,Architecture,Architecture & Design,2000-01-19,Y,192,http://www.moma.org/collection/works/192,http://www.moma.org/media/W1siZiIsIjYwMTI1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=db07fb07d4a77c33,,,,41.9,,,29.2,,,203.05793073973712
144,"Yale University, Art and Architecture Building, New Haven, Connecticut, Elevation",Paul Rudolph,5076,"(American, 1918–1997)",(American),(1918),(1997),(Male),1958–1964,Graphite and colored pencil on paper,"27 1/4 x 34 1/4"" (69.2 x 87 cm)",Gift of the architect,98.1989,Architecture,Architecture & Design,1989-05-16,Y,193,http://www.moma.org/collection/works/193,http://www.moma.org/media/W1siZiIsIjE4MDAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=0e54cf2f46103a1d,,,,69.2,,,87.0,,,190.36873956472468
145,"Residence of Salman Schocken, Jerusalem, Israel, Perspectives",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),Unknown,Graphite on tracing paper,"14 3/4 x 11 1/4"" (37.5 x 28.5 cm)",Gift of Milton Scheingarten,99.2000,Architecture,Architecture & Design,2000-01-19,Y,194,http://www.moma.org/collection/works/194,http://www.moma.org/media/W1siZiIsIjYwMTI2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=d1a1a05e415930e2,,,,37.5,,,28.5,,,194.14372502520757
147,"Hadassah University Hospital, Mount Scopus, Jerusalem, Exterior perspective of northwest corner from University Building",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),1935,"Crayon, graphite, and gouache on sepia diazotype","21 1/4 x 23 3/4"" (54 x 60.3 cm)",Gift of Milton Scheingarten,101.2000,Architecture,Architecture & Design,2000-01-19,Y,197,http://www.moma.org/collection/works/197,http://www.moma.org/media/W1siZiIsIjE4MzEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=9c064cdc382a96b5,,,,12.7,,,35.6,,,169.62799019410792
148,"Hadassah University Medical Center, Mount Scopus, Jerusalem, View of hospital, north west corner: ""From the National Library""",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),1935,"Tempera, graphite, and color pencil on print","21 1/4 x 22 3/4"" (54 x 57.8 cm)",Gift of Milton Scheingarten,102.2000,Architecture,Architecture & Design,2000-01-19,Y,198,http://www.moma.org/collection/works/198,http://www.moma.org/media/W1siZiIsIjE4NDYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=17371a2ce16ffcad,,,,64.0,,,38.0,,,168.8053713500816
149,"Hadassah University Medical Center, Mount Scopus, Jerusalem, Exterior perspective",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(Male),1935,"Tempera, graphite, and color pencil on print","21 1/2 x 24"" (54.6 x 61 cm)",Gift of Milton Scheingarten,103.2000,Architecture,Architecture & Design,2000-01-19,Y,199,http://www.moma.org/collection/works/199,http://www.moma.org/media/W1siZiIsIjU5NTkyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=34f97f3e1f2c9c30,,,,54.6101,,,60.9601,,,169.38990820781584
150,"Arcadia Peninsula Housing, project, Revised version: exterior elevation",Peter Cook,6950,"(British, born 1936)",(British),(1936),(0),(Male),1979,Ink and gouache on paper,"11 x 34 1/4"" (27.9 x 87 cm)",Gift of Kenneth Walker,106.1992,Architecture,Architecture & Design,1992-01-15,Y,200,http://www.moma.org/collection/works/200,http://www.moma.org/media/W1siZiIsIjE5MTAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=51390bf833c95a9b,,,,27.9,,,87.0,,,205.4239569400807
151,"Slow House Project, North Haven, New York, Plan of lower-level and sections","Diller + Scofidio, Elizabeth Diller, Ricardo Scofidio","8707, 6951, 6952","(American, established 1979) (American, born Poland 1954) (American, born 1935)",(American) (American) (American),(1979) (1954) (1935),(0) (0) (0),() (Female) (Male),1989,Computer-generated print on frosted polymer sheet with graphite and colored ink mounted on painted wood with metal,"47 5/8 x 36 1/2 x 1 1/2"" (121 x 92.7 x 3.8 cm)
",Marshall Cogan Purchase Fund and Jeffrey P. Klein Purchase Fund,107.1992,Architecture,Architecture & Design,1992-01-15,Y,201,http://www.moma.org/collection/works/201,http://www.moma.org/media/W1siZiIsIjE5MjQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=5aec1fba71220ffe,,3.8,,121.0,,,92.7,,,188.2502971501804
152,"The Peak Project, Hong Kong, China (Exterior perspective)",Zaha Hadid,6953,"(British, born Iraq. 1950–2016)",(British),(1950),(2016),(Female),1991,Synthetic polymer on paper mounted on canvas,"51 x 72"" (129.5 x 182.9 cm)","David Rockefeller, Jr. Fund",108.1992,Architecture,Architecture & Design,1992-01-15,Y,202,http://www.moma.org/collection/works/202,http://www.moma.org/media/W1siZiIsIjE5MzgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=dd26102a0662adf2,,,,129.5403,,,182.8804,,,54.997737623395544
153,"Study for an Office Building, project, Tokyo, Japan, Exterior perspective",Fumihiko Maki,6954,"(Japanese, born 1928)",(Japanese),(1928),(0),(Male),1980,Ink and graphite on graph paper,"8 x 5 3/4"" (20.3 x 14.6 cm)",Gift of Kenneth Walker,109.1992,Architecture,Architecture & Design,1992-01-15,Y,203,http://www.moma.org/collection/works/203,http://www.moma.org/media/W1siZiIsIjE5NTciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=84aac4297b1ed343,,,,20.3,,,14.6,,,214.62952809279818
154,"Egg of Columbus Circle, project, New York, New York, Axonometric","Rem Koolhaas, Zoe Zenghelis, Elia Zenghelis, Madelon Vriesendorp","6956, 7559, 7558, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(Male) (Female) (Male) (Female),1975,Ink and acrylic on paper,"44 1/2 x 27"" (113 x 68.6 cm)",Gift of Kenneth Walker,110.1992,Architecture,Architecture & Design,1992-01-15,Y,204,http://www.moma.org/collection/works/204,http://www.moma.org/media/W1siZiIsIjE5NzYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=f0368087652110d1,,,,113.0,,,68.6,,,190.8431706628242
155,"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Plan and elevation",Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1941,Graphite and colored pencil on tracing paper,"30 3/4 x 20 1/8"" (78.1 x 51.1 cm)",Arthur Drexler Fund,111.1992,Architecture,Architecture & Design,1992-01-15,Y,205,http://www.moma.org/collection/works/205,http://www.moma.org/media/W1siZiIsIjE5OTEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=57c08d9ee84fa133,,,,78.1052,,,51.1176,,,210.87051801043543
156,"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Plan and elevation",Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1941,Graphite and colored pencil on tracing paper,"20 7/8 x 30 7/8"" (53 x 78.5 cm)",Arthur Drexler Fund,112.1992,Architecture,Architecture & Design,1992-01-15,Y,206,http://www.moma.org/collection/works/206,http://www.moma.org/media/W1siZiIsIjIwMDIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ea0fd8008cac6e72,,,,53.0,,,78.5,,,205.13278168295582
157,"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Perspective",Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1941,"Colored pencil, graphite, and color ink on tracing paper","16 15/16 x 19 1/4"" (43.1 x 48.9 cm)",Arthur Drexler Fund,113.1992,Architecture,Architecture & Design,1992-01-15,Y,207,http://www.moma.org/collection/works/207,http://www.moma.org/media/W1siZiIsIjIwMjIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=b7770df7a3582fe8,,,,43.1,,,48.8951,,,194.33218564687354
158,"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Perspective",Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1941,Graphite and color pencil on tracing paper,"20 3/4 x 31"" (52.7 x 78.8 cm)",Arthur Drexler Fund,114.1992,Architecture,Architecture & Design,1992-01-15,Y,208,http://www.moma.org/collection/works/208,http://www.moma.org/media/W1siZiIsIjIwMzgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=a0f4007634fa3a46,,,,52.7051,,,78.8,,,210.32321039251667
159,"Exhibition ""Mario Bellini: Designer."", The Museum of Modern Art, New York, 1987, Installation plan",Mario Bellini,451,"(Italian, born 1935)",(Italian),(1935),(0),(Male),1987,Crayon and cut and pasted photocopies on transparent overlay on print,"19 1/2 x 30 1/2"" (49.5 x 77.5 cm)",Gift of the designer,119.1988,Architecture,Architecture & Design,1988-04-27,Y,209,http://www.moma.org/collection/works/209,http://www.moma.org/media/W1siZiIsIjIxMTIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=34c19148da35029c,,,,49.5,,,77.5,,,111.14923676207215
